REGISTRY_CODE,IDENTIFIER_IN_REG,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,Comment,PRTR_ID,tot,bio,est_bio,Verified,ALLOCATED_2015,ALLOCATED_RESERVE_2015,ALLOCATED_TRANSITIONAL_2015,,ACCOUNT_CLOSURE
DE,1624 - Anlagenkonto,Kraftwerk Neurath,1606,14310-1093,20,power,43843,32.1,,0.03,32069617,2080,0,0,,29-aug-14
DE,1667 - Anlagenkonto,Kraftwerk Niederaußem,1649,14310-1153,20,power,44073,27.3,,-0.03,27330240,18910,90966,0,,OPEN
DE,1474 - Anlagenkonto,Kraftwerk Jänschwalde,1456,14310-0918,20,power,46361,23.7,0.4,0.37,23325104,37330,0,0,,OPEN
DE,1625 - Anlagenkonto,Kraftwerk  Weisweiler,1607,14310-1094,20,,,,,,18139249,54772,0,0,,23-dec-15
GB,Operator Account,Drax Power Station,381,UK-E-IN-11718,1,power,13777,23.4,10.2,10.21,13192780,-1,-1,-1,,OPEN
IT,Operator Account,CENTRALE TERMOELETTRICA DI  BRINDISI SUD,521,IT-A-769,1,power,7027,13.1,,-0.01,13112244,0,0,0,,OPEN
DE,1477 - Anlagenkonto,Kraftwerk Schwarze Pumpe,1459,14310-0921,20,power,46366,12.3,0.1,0.06,12244201,327072,0,0,,OPEN
PL,ELEKTROWNIA KOZIENICE,ELEKTROWNIA KOZIENICE,4,PL-0004-05,20,power,4951,11.6,,0.21,11393513,20673,0,0,,OPEN
BG,TPP MARITSA EAST 2  EAD,TPP MARITSA EAST 2 EAD,50,BG-P46,20,,,,,,11293658,-1,-1,-1,,02-OCT-14
DE,1472 - Anlagenkonto,Kraftwerk Boxberg Werk IV,1454,14310-0916,20,power,N/A,,,,10822291,4863,0,0,,OPEN
IT,Operator Account,CENTRALE TERMOELETTRICA DI TORREVALDALIGA NORD,439,IT-A-667,1,,,,,,10736213,0,0,0,,OPEN
GR,DEIAGDIM,?????????????? ??????? ??? ????? ?????????,15,04-jan,20,,,,,,10558256,39946,0,0,,OPEN
DE,1478 - Anlagenkonto,Kraftwerk Lippendorf,1460,14310-0922,20,,,,,,10285560,129302,0,0,,OPEN
GR,DEIKARD,?????????????? ??????? ??? ???????,14,03-jan,20,,,,,,8870729,0,37893,0,,OPEN
AT,Voestalpine Stahl Linz,Voestalpine Stahl Linz,16,IVA062,24,,,,,,8712811,6611507,0,0,,OPEN
PT,118-EDP - Gestão da Produção de Energia S.A.,Central Termoeléctrica de Sines,100,78,20,,,,,,8683899,-1,-1,-1,,OPEN
SK,U.S. Steel Košice s.r.o.,U. S. Steel Košice s.r.o.,150,803-002A-2012,20,,,,,,8646638,6190422,0,0,,OPEN
DE,1471 - Anlagenkonto,Kraftwerk Boxberg Werk III,1453,14310-0915,20,,,,,,8615210,9102,0,0,,OPEN
DE,Integriertes Hüttenwerk Duisburg,Integriertes Hüttenwerk Duisburg,69,14220-0035,24,,,,,,8202034,16265093,0,0,,OPEN
FR,ARCELORMITTAL MEDITERRANEE,ARCELORMITTAL MEDITERRANEE,628,6401052,24,,,,,,7861098,6615651,0,0,,OPEN
GB,West Burton A,West Burton Power Station,145,UK-E-IN-11463,20,,,,,,7724207,-1,-1,-1,,OPEN
GB,Operator Account,Port Talbot Steelworks,325,UK-W-IN-11665,24,,,,,,7554484,5978060,726741,0,,OPEN
ES,Hidrocantábrico S.A - Aboño 1 y 2,Hidrocantábrico S.A - Aboño 1,201,ES033301000215,20,,,,,,7545959,-1,-1,-1,,OPEN
ES,Endesa Generación S.A. - As Pontes (Unidad de Producción Térmica),Endesa Generación S.A. - Puentes,647,ES121501000743,20,,,,,,7542286,-1,-1,-1,,OPEN
GB,Longannet Power Station,Longannet Power Station,593,UK-S-IN-12326,1,,,,,,7457176,-1,-1,-1,,OPEN
IE,Ryanair Limited,8651,201078,AEM10143,10,,,,,,7400795,4610591,0,0,,OPEN
DE,1398 - Anlagenkonto,Grosskraftwerk Mannheim,1380,14310-0835,20,,,,,,7316094,408961,0,0,,OPEN
EE,Operator Account:EE5,Eesti Elektrijaam,2,EE-KL-0002,1,,,,,,7080114,62419,0,0,,OPEN
GB,Cottam Power,Cottam Power Station,202,UK-E-IN-11534,20,,,,,,6756444,-1,-1,-1,,OPEN
GB,Aberthaw PS Operator Account,Aberthaw Power Station,188,UK-W-IN-11516,20,,,,,,6703696,-1,-1,-1,,OPEN
IT,Operator Account,Impianti di raffinazione,575,IT-A-841,21,,,,,,6594472,2511037,0,0,,OPEN
ES,Endesa Generación S.A. - Litoral,Endesa Generación S.A. - Litoral,43,ES010401000044,20,,,,,,6440967,-1,-1,-1,,OPEN
HU,Operator Account:HU144,Mátrai Eromu Rt. Visontai Eromu,142,HU-UHG5119-1-04,1,,,,,,6363197,16247,0,0,,OPEN
PL,Instalacja do spalania paliw z wyj. inst. do spalania odpadów niebezp. lub komun.,Instalacja do spalania paliw,5,PL-0005-05,20,,,,,,6299450,139398,0,0,,OPEN
NL,RWE Eemshaven Centrale,RWE Eemshaven Centrale,205957,NL-201000010,20,,,,,,6293776,-1,-1,-1,,OPEN
IT,Ilva S.p.A - Taranto,ILVA S.P.A. - Stabilimento di Taranto,515,IT-A-762,5,,,,,,6256981,13737355,0,0,,OPEN
NL,Tata Steel IJmuiden bv BKG 1,Tata Steel IJmuiden bv BKG 1,144,NL-200400186,24,,,,,,6205821,10302113,0,0,,OPEN
NL,Uniper Centrale Maasvlakte,Uniper Centrale Maasvlakte,163,NL-200400153,20,,,,,,6026038,20335,0,0,,OPEN
ES,ARCELORMITTAL ESPAÑA S.A.,ARCELORMITTAL ESPAÑA S.A.,212,ES033305000226,24,,,,,,5907100,7159424,0,0,,OPEN
IT,Operator Account,CENTRALE TERMOELETTRICA DI  FUSINA,275,IT-A-343,1,,,,,,5779411,0,0,0,,OPEN
NL,Essent Amercentrale,Essent Amercentrale,172,NL-200400221,20,,,,,,5669492,182589,0,0,,OPEN
GB,Scunthorpe Integrated Steel Works,Scunthorpe Integrated Iron & Steel Works,321,UK-E-IN-13292,22,,,,,,5667711,6342870,0,0,,OPEN
GB,Fiddlers Ferry Power Station,Fiddlers Ferry Power Station,562,UK-E-IN-11849,1,,,,,,5556750,-1,-1,-1,,OPEN
RO,Operator Account,SC C.E. OLTENIA SA - SUC. ELECTROCENTRALE ROVINARI,87,RO-163-2013,20,,,,,,5412542,-1,-1,-1,,OPEN
PL,ELEKTROWNIA P?TNÓW,ELEKTROWNIA P?TNÓW,21,PL-0021-05,20,,,,,,5371308,5170,0,0,,OPEN
DE,Kraftwerk Schkopau,Kraftwerk Schkopau,1376,14310-0831,20,,,,,,5351933,209360,0,0,,OPEN
CZ,?EZ - Elektrárna Po?erady,?EZ a. s. - Elektrárna Po?erady,124,CZ-0204-05,1,,,,,,5135531,6190,0,2338599,,OPEN
IT,Taranto Energia S.r.L - Taranto,STABILIMENTO DI TARANTO,511,IT-A-758,1,,,,,,4804006,0,0,0,,OPEN
GB,Ratcliffe on Soar Power Station,Ratcliffe on Soar power station,154,UK-E-IN-13306,20,,,,,,4774148,-1,-1,-1,,OPEN
DE,71 - Anlagenkonto,Glocke Duisburg,53,14220-0016,24,,,,,,4765546,6673212,185847,0,,OPEN
DE,1623 - Anlagenkonto,Kraftwerk Frimmersdorf,1605,14310-1092,20,,,,,,4752557,6789,0,0,,OPEN
GB,Eggborough Operator Account,Eggborough Power Station,169,UK-E-IN-11494,20,,,,,,4748504,-1,-1,-1,,OPEN
DE,Kraftwerk Scholven,Kraftwerk Scholven,1205,14310-0649,20,,,,,,4720436,190299,0,0,,OPEN
GB,EACL ETS Account,23226,200381,UK-E-AV-00033,10,,,,,,4711286,2942618,0,0,,OPEN
ES,Endesa Generación S.A. - Teruel 1 2 y 3,Endesa Generación - Teruel,173,ES024401000184,20,,,,,,4663461,-1,-1,-1,,OPEN
CZ,?EZ - Elektrárna Tušimice 2,?EZ a. s. - Elektrárna Tušimice 2,129,CZ-0209-05,1,,,,,,4658430,35212,0,2546948,,OPEN
BE,348 Electrabel - Knippegroen,Electrabel - Knippegroen,750,VLE50,1,,,,,,4568881,-1,-1,-1,,OPEN
IE,ESB Moneypoint Generating Station Operator Account,ESB Moneypoint Generating Station,54,IE-GHG070,20,,,,,,4528857,-1,-1,-1,,OPEN
DE,Kraftwerk Moorburg,Kraftwerk Moorburg,206180,14310-1863,20,,,,,,4475585,-1,-1,-1,,OPEN
RO,Operator Account,S Complexul Energetic Oltenia SA-SE Turceni,88,RO-161-2013,20,,,,,,4454326,-1,-1,-1,,OPEN
DE,70 - Anlagenkonto,Roheisenerzeugung Dillingen,52,14220-0015,24,,,,,,4452128,6006712,0,0,,OPEN
DE,1336 - Anlagenkonto,KW Voerde,1318,14310-0770,20,,,,,,4430371,-1,-1,-1,,OPEN
DE,1335 - Anlagenkonto,Heizkraftwerk Walsum,1317,14310-0769,20,,,,,,4307843,63215,0,0,,OPEN
RO,Operator Account,ARCELORMITTAL GALATI SA,44,RO-155-2013,20,,,,,,4288727,3337833,0,0,,OPEN
CZ,Teplárna a PPC V?esová,Sokolovská uhelná - Teplárna a PPC V?esová,117,CZ-0197-05,20,,,,,,4280672,376563,0,1159691,,OPEN
NL,Shell Nederland Raffinaderij B.V.,Shell Nederland Raffinaderij B.V.,99,NL-200400021,2,,,,,,4262006,3237656,0,0,,OPEN
ES,Endesa Generación S.A. - Instalación UPT Compostilla,Endesa Generación S.A. UPT- Compostilla,270,ES062401000342,20,,,,,,4233843,-1,-1,-1,,OPEN
NL,Nuon Centrale Hemweg,Nuon Centrale Hemweg,184,NL-200400019,20,,,,,,4195699,-1,-1,-1,,OPEN
FR,ETF- CENTRALE DK6,ETF - CENTRALE DK6,988,7001279,20,,,,,,4148900,-1,-1,-1,,OPEN
GB,SSI UK Trading,Teesside Integrated Iron & Steel Works,1263,UK-E-IN-12040,5,,,,,,4088305,4775604,0,0,,OPEN
NL,Nuon Power Velsen,Nuon Power Velsen,188,NL-200400090,20,,,,,,4053148,-1,-1,-1,,11-feb-16
DE,37 - Anlagenkonto,PCK Raffinerie Glocke Schwedt,19,14210-0019,21,,,,,,4015772,1930949,0,0,,OPEN
GB,Pembroke Power Station,Pembroke Power Station,1102,UK-W-IN-11932,20,,,,,,3991210,-1,-1,-1,,OPEN
BE,0111 ArcelorMittal Gent 1,ArcelorMittal Gent 1,203912,VL201A,22,,,,,,3987758,4388013,0,0,,OPEN
DE,Glocke,Glocke Salzgitter,43,14220-0006,24,,,,,,3971007,5592831,0,0,,OPEN
FI,Raahen terästehdas:FI373,Raahen terästehdas,445,FI-58931104,5,,,,,,3936555,3593906,0,0,,OPEN
PL,ELEKTROWNIA ADAMÓW,ELEKTROWNIA ADAMÓW,23,PL-0023-05,20,,,,,,3908045,36373,0,0,,OPEN
DE,Rheinhafen-Dampfkraftwerk Karlsruhe,RDK Karlsruhe,1457,14310-0919,20,,,,,,3874679,39577,0,0,,OPEN
GB,Operator Account,Rugeley Power Station,137,UK-E-IN-11455,1,,,,,,3854947,-1,-1,-1,,OPEN
DE,Deutsche Lufthansa AG,1776,200022,19550-0123,10,,,,,,3829975,2127660,0,0,,OPEN
SI,TEŠ,Termoelektrarna Šoštanj d.o.o.,4,SI-35433-54-2004,20,,,,,,3791039,90334,0,0,,OPEN
BE,127 Total Raffinaderij Antwerpen,Total Raffinaderij Antwerpen,127,VL192,2,,,,,,3780955,2870980,0,0,,OPEN
GR,DEIAMYNT,?????????????? ??????? ???????? ????????,16,05-jan,20,,,,,,3743116,4027,0,0,,OPEN
PL,Zak?ad Wytwarzania Nowa,Zak?ad Wytwarzania Nowa,31,PL-0031-05,20,,,,,,3668708,79837,0,0,,OPEN
PT,41-Tejo Energia S.A,Central Termoeléctrica do Pego,23,77,20,,,,,,3615854,-1,-1,-1,,OPEN
DE,HKM Kraftwerk Anlagennummer 1504,Kraftwerk Huckingen,1486,14310-0952,20,,,,,,3589568,2085,0,0,,OPEN
ES,VIESGO GENERACIÓN S.L.- Los Barrios,E.ON GENERACIÓN S.L.- Los Barrios,44,ES011101000046,20,,,,,,3499191,-1,-1,-1,,OPEN
DE,Kraftwerk Westfalen D&E,Kraftwerk Westfalen D&E,206010,14310-1872,20,,,,,,3460098,-1,-1,-1,,OPEN
CZ,Sev.en EC - Elektrárna Chvaletice,Sev.en EC - Elektrárna Chvaletice,120,CZ-0200-05,20,,,,,,3413197,8469,0,1056522,,OPEN
GB,Staythorpe Power Station,Staythorpe Power Station,1080,UK-E-IN-11931,1,,,,,,3351616,-1,-1,-1,,OPEN
DE,1498 - Anlagenkonto,Kraftwerk Ibbenbüren,1480,14310-0944,20,,,,,,3334278,1720,0,0,,OPEN
DE,2026 - Anlagenkonto,Kraftwerk  Hamborn,1850,14310-0931,20,,,,,,3270199,11862,0,0,,OPEN
DE,22 - Anlagenkonto,RUHR OEL GmbH - Werk Scholven - CO2-Glocke,4,14210-0004,21,,,,,,3238892,2889168,0,0,,OPEN
DE,Heizkraftwerk Duisburg Ruhrort,Dampfkesselanlage Duisburg Hamborn,1415,14310-0872,20,,,,,,3183100,1871,0,0,,13-OCT-15
DE,Heizkraftwerk Heilbronn,Heizkraftwerk Heilbronn,1452,14310-0914,20,,,,,,3178511,44541,0,0,,OPEN
DE,Kraftwerk Hallendorf,Kraftwerk Hallendorf,1132,14310-0570,20,,,,,,3133447,243192,0,0,,OPEN
BE,1281 BASF Antwerpen - 127a,BASF Antwerpen - 127a,203830,VL127A,20,,,,,,3096621,3153898,0,0,,OPEN
ES,Gas Natural Fenosa Generación S.L.U. - Instalación CT Meirama,Central Térmica- Meirama,648,ES121501000747,20,,,,,,3016683,-1,-1,-1,,OPEN
GB,VPI Immingham LLP,Immingham CHP,750,UK-E-IN-11381,1,chp,13114,2.99,,0,2989934,-1,-1,-1,,OPEN
AT,Sinteranl. Hochöfen Stahlwerk Donawitz,Sinteranl. Hochöfen Stahlwerk Donawitz,13,IVA065,24,,,,,,2981508,1851839,0,0,,OPEN
NL,Uniper Maasvlakte Powerplant 3,Uniper Maasvlakte Powerplant 3,448,NL-201100057,20,,,,,,2976984,-1,-1,-1,,OPEN
DE,HKW Reuter West,HKW Reuter West,1179,14310-0622,20,,,,,,2976143,286860,0,0,,OPEN
DE,Kraftwerk Wilhelmshaven,Kraftwerk Wilhelmshaven,969,14310-0390,20,,,,,,2931068,935,0,0,,OPEN
ES,Hidrocantábrico S.A - Soto Ribera 1 2 y 3,Hidrocantábrico S.A - Soto Ribera 1 2 y 3,203,ES033301000217,20,,,,,,2925818,-1,-1,-1,,OPEN
NL,ENGIE Energie Nederland N.V. Centrale Gelderland,ENGIE Energie Nederland N.V. Centrale Gelderland,152,NL-200400066,20,,,,,,2885312,-1,-1,-1,,OPEN
PL,Elektrociep?ownia Siekierki,ELEKTROCIEP?OWNIA SIEKIERKI,27,PL-0027-05,20,,,,,,2842416,885331,0,0,,OPEN
IT,Raffineria di Sannazzaro,RAFFINERIA DI SANNAZZARO,180,IT-A-223,21,,,,,,2836256,1804832,0,0,,OPEN
CZ,ArcelorMittal Ostrava a.s.,ArcelorMittal Ostrava a.s.,73,CZ-0134-05,1,,,,,,2825625,4541431,0,0,,OPEN
FR,UNIPER FRANCE POWER Centrale Emile Huchet,UNIPER FRANCE POWER Centrale Emile Huchet,1133,6207853,20,,,,,,2818871,-1,-1,-1,,OPEN
AT,Raffinerie Schwechat,Raffinerie Schwechat,26,EMV061,21,,,,,,2804050,1715882,0,0,,OPEN
NL,ENGIE Centrale Rotterdam,ENGIE Centrale Rotterdam,203009,NL-201200005,20,,,,,,2791963,-1,-1,-1,,OPEN
DE,Kraftwerk Heyden,Kraftwerk Heyden,1291,14310-0742,20,,,,,,2757365,274,0,0,,OPEN
LT,Operator Account:LT22,Katiline  amoniako paleidimo katilines nr.1 ir nr.2 kogeneracine jegaine nr.1,18,2-PR4,1,,,,,,2755145,2017759,8298,0,,OPEN
DE,Gemeinschaftskraftwerk Bergkamen A beschränkt haftende OHG,Kraftwerk Bergkamen,1399,14310-0856,20,,,,,,2744777,6407,0,0,,OPEN
GB,Esso Fawley Refinery,Esso Petroleum Company Ltd,86,UK-E-IN-11402,21,,,,,,2700165,1774828,0,0,,OPEN
FR,TOTAL Raffinerie de Normandie,Raffinerie de Normandie,253,5800297,21,,,,,,2692023,1774468,0,0,,OPEN
DE,KW Wilhelmshaven,Steinkohlekraftwerk Wilhelmshaven,205778,14310-1457,20,,,,,,2656618,-1,-1,-1,,OPEN
DE,1330 - Anlagenkonto,Heizkraftwerk Herne,1312,14310-0764,20,,,,,,2654608,118610,85066,0,,OPEN
CZ,?EZ - Elektrárna Pruné?ov 2,?EZ a. s. - Elektrárna Pruné?ov 2,127,CZ-0207-05,1,,,,,,2634945,15567,0,2271082,,OPEN
IT,Stabilimento di Ferrera Erbognone,EniPower S.p.A.- Stabilimento di Ferrera Erbognone,179,IT-A-222,1,,,,,,2632021,0,0,0,,OPEN
FI,Porvoon jalostamon päästötili:FI75,Porvoon jalostamo,533,FI-58031104,2,,,,,,2620670,2107469,0,0,,OPEN
RO,Operator Account,S Complexul Energetic Oltenia SA -  SE Isalnita,86,202,20,,,,,,2608863,-1,-1,-1,,OPEN
ES,Gas Natural Fenosa Generación S.L.U. - Central La Robla,Central Térmica La Robla,274,ES062401000351,20,,,,,,2587314,-1,-1,-1,,OPEN
GB,British Airways PLC,590,200935,UK-E-AV-00003,10,,,,,,2564213,1323342,0,0,,OPEN
PT,57-Petróleos de Portugal - Petrogal S.A,Refinaria de Sines,39,196,21,,,,,,2547397,1146296,486772,0,,OPEN
DE,957 KWM Block 3,Kraftwerk Mehrum Block 3,939,14310-0353,20,,,,,,2540432,-1,-1,-1,,OPEN
IT,Operator Account,CENTRALE TERMOELETTRICA DI LA SPEZIA,88,IT-A-108,1,,,,,,2532872,0,0,0,,OPEN
CZ,T?inecké železárny,T?inecké železárny,114,CZ-0192-05,24,,,,,,2497507,3705508,0,0,,OPEN
ES,Repsol Petróleo S.A. - Instalación de Cartagena,Repsol Petróleo S.A.,736,ES173002000872,21,,,,,,2471145,320948,1588851,0,,OPEN
BG,TPP Bobov Dol,TPP Bobov Dol,11,BG-P58,20,,,,,,2458329,-1,-1,-1,,OPEN
DE,29 - Anlagenkonto,Werk 1 und Werk 2,11,14210-0011,21,,,,,,2445407,2161354,0,0,,OPEN
FR,AIR FRANCE,227,200111,227-17/01/2011-V2,10,,,,,,2428126,1343461,0,0,,OPEN
GR,DEIMEGAI,?????????????? ??????? ??????????? ?,17,06-jan,20,,,,,,2422022,1332,0,0,,OPEN
GB,Operator Account,Valero Energy Ltd,100,UK-W-IN-13017,20,,,,,,2409698,1851385,0,0,,OPEN
IT,FIUMESANTO,Centrale termoelettrica di fiumesanto,649,IT-A-980,1,,,,,,2404218,0,0,0,,OPEN
GB,West Burton B Power Station,West Burton B Power Station,1103,UK-E-IN-11927,20,,,,,,2371371,-1,-1,-1,,OPEN
SE,Scandinavian Airlines System,2351,200082,2351,10,,,,,,2357470,1275339,0,0,,OPEN
CZ,?EZ - Elektrárna D?tmarovice,?EZ a. s. - Elektrárna D?tmarovice,118,CZ-0198-05,1,,,,,,2351694,28457,0,1214574,,OPEN
DE,1327 - Anlagenkonto,Kraftwerk Rostock,1309,14310-0760,20,,,,,,2339152,34333,0,0,,OPEN
NL,BP Raffinaderij Rotterdam B.V.,BP Raffinaderij Rotterdam B.V.,98,NL-200400017,2,,,,,,2337784,1589175,0,0,,OPEN
ES,Repsol Petróleo S.A. - Instalación de Tarragona,Repsol Petróleo S.A. - Instalación de Tarragona,476,ES084302000562,21,,,,,,2332442,1654765,0,0,,OPEN
NL,ESSO Raffinaderij Rotterdam,ESSO Raffinaderij Rotterdam,96,NL-200400011,21,,,,,,2330591,2090954,0,0,,OPEN
GB,"Ferrybridge ""C"" Power Station","Ferrybridge ""C"" Power Station",564,UK-E-IN-11851,1,,,,,,2328454,-1,-1,-1,,OPEN
PL,ELEKTROCIEP?OWNIA ?ERA?,ELEKTROCIEP?OWNIA ?ERA?,28,PL-0028-05,20,,,,,,2324804,712783,0,0,,OPEN
PL,Zak?ady Azotowe Pu?awy S.A.,Zak?ady Azotowe Pu?awy S.A.,202510,PL-1038-13,42,,,,,,2303502,2113187,153108,0,,OPEN
GB,Operator Account,Stanlow Refinery,351,UK-E-IN-12052,2,,,,,,2287232,1735365,0,0,,OPEN
CZ,?EZ - Elektrárna Pruné?ov 1,?EZ a. s. - Elektrárna Pruné?ov 1,126,CZ-0206-05,1,,,,,,2279970,54410,0,738849,,OPEN
DE,Kraftwerk Buschhaus,Kraftwerk Buschhaus,1419,14310-0878,20,,,,,,2278643,-1,-1,-1,,OPEN
ES,Petróleos del Norte S.A.,Petróleos del Norte S.A.,797,ES194802000937,21,,,,,,2272780,1660160,0,0,,OPEN
DE,1495 - Anlagenkonto,Kraftwerk Werne,1477,14310-0941,20,,,,,,2268423,583,0,0,,OPEN
GB,Operator Account,Saltend Cogeneration Company Limited,72,UK-E-IN-11383,1,,,,,,2239237,-1,-1,-1,,OPEN
GR,MOTOKOR,????? ??? (?????) - ??????????? ???????? ?.?.,88,03-mar,21,,,,,,2215663,1577812,0,0,,OPEN
CZ,TAMEH Czech,TAMEH Czech,421,CZ-0444-10,20,,,,,,2209436,186307,0,157593,,OPEN
GR,DEIMEGAIV,?????????????? ??????? ??????????? - ?????? IV,18,07-jan,20,,,,,,2205148,-1,-1,-1,,OPEN
DE,Heizkraftwerk Duisburg Hamborn,Heizkraftwerk ThyssenKrupp Stahl AG Duisburg Hamb.,1411,14310-0868,20,,,,,,2204317,170673,0,0,,OPEN
DE,Kraftwerk Staudinger (Gesamtanlage),Kraftwerk Staudinger,1876,14310-1392,20,,,,,,2182690,23155,0,0,,OPEN
DE,870 - Anlagenkonto,Kraftwerk Bexbach,852,14310-0257,20,,,,,,2174385,-1,-1,-1,,OPEN
DE,1404 - Anlagenkonto,Dampfheizkraftwerk VEO,1386,14310-0841,20,,,,,,2157850,99962,0,0,,OPEN
SE,SSAB Oxelösund,SSAB Oxelösund,494,04-563-011683-2004,5,,,,,,2151437,1943589,0,0,,OPEN
SK,Elektrárne Nováky,Závod Elektrárne Nováky,110,307-002-2008,20,,,,,,2143125,95357,0,0,,OPEN
FR,EDF - CENTRALE DE CORDEMAIS,EDF Centrale de Cordemais,560,6301217,20,,,,,,2135950,-1,-1,-1,,OPEN
DE,83 - Anlagenkonto,Kokerei Duisburg Schwelgern,65,14220-0030,22,,,,,,2100062,657462,0,0,,OPEN
IT,Stabilimento di Brindisi,EniPower S.p.A. - Stabilimento di Brindisi,517,IT-A-764,1,,,,,,2091170,29313,0,0,,OPEN
GB,Operator Account,AES Kilroot Power Ltd,578,UK-N-IN-12126,1,,,,,,2079830,-1,-1,-1,,OPEN
NL,EPZ Conventional Operations,EPZ Conventional Operations,164,NL-200400008,20,,,,,,2054544,0,0,0,,OPEN
DE,38 - Anlagenkonto,Mineralölraffinerie Leuna,20,14210-0020,21,,,,,,2044487,2192480,0,0,,OPEN
DE,165 - Anlagenkonto,Werk Flandersbach-Anlage zum Brennen v. Kalkstein,147,14240-0029,30,,,,,,2040940,1539710,0,0,,OPEN
IT,Operator Account,Centrale Termoelettrica di Monfalcone,301,IT-A-380,1,,,,,,2037302,0,0,0,,OPEN
PL,ELEKTROWNIA OSTRO??KA B,ELEKTROWNIA OSTRO??KA B,20,PL-0020-05,20,,,,,,2017491,0,0,0,,OPEN
CZ,UNIPETROL - Petrochemie,UNIPETROL - Petrochemie,234,CZ-0400-05,20,,,,,,2017036,667652,0,0,,OPEN
IT,Operator Account,CENTRALE TERMOELETTRICA DI SAN FILIPPO DEL MELA,543,IT-A-804,1,,,,,,2004529,0,0,0,,OPEN
NO,Norwegian,22212,200307,2011/1560,10,,,,,,1996198,824183,0,0,,OPEN
ES,Gas y Electricidad Generación S.A.U. - Alcudia,Gas y Electricidad Generación S.A.U. - Alcudia,680,ES130701000797,20,,,,,,1987163,-1,-1,-1,,OPEN
NL,Nuon Power IJmond,Nuon Power IJmond,185,NL-200400089,20,,,,,,1984210,-1,-1,-1,,OPEN
BE,176 Esso Raffinaderij,Esso Raffinaderij,176,VL193,2,,,,,,1957465,1746603,0,0,,OPEN
IT,Operator Account,IMPIANTO IGCC,561,IT-A-825,20,,,,,,1929216,163254,0,0,,OPEN
CZ,Alpiq Generation - Elektrárna Kladno,Alpiq Generation - Elektrárna Kladno,82,CZ-0148-05,1,,,,,,1912128,55158,0,479449,,OPEN
IT,Operator Account,RAFFINERIA DI AUGUSTA,37,IT-A-42,2,,,,,,1908521,1387993,0,0,,OPEN
BE,072 E ON Generation Belgium - Centrale Langerlo,E ON Generation Belgium - Centrale Langerlo,72,VLE10,1,,,,,,1904278,-1,-1,-1,,OPEN
DE,HKW Nord Block 2,Heizkraftwerk Nord 2,741,14310-0131,20,,,,,,1902717,264687,0,0,,OPEN
FR,CPTE ESSO RAFFINAGE SAF ex ERSAF ESSO + MOBIL,ESSO RAFFINAGE SAF,259,5800349,21,,,,,,1871195,1411869,0,0,,OPEN
IT,Operator Account,Raffineria di Milazzo,541,IT-A-802,2,,,,,,1855292,1366246,0,0,,OPEN
GB,Humber Refinery,Humber Refinery,278,UK-E-IN-11607,21,,,,,,1853680,2027488,0,0,,OPEN
DE,1533 - Anlagenkonto,Heizkraftwerk West,1515,14310-0989,20,,,,,,1847361,127231,0,0,,OPEN
ES,Vueling Airlines SA,30190,200651,18022011_version4,10,,,,,,1840120,590650,0,0,,OPEN
PL,Góra?d?e Cement S. A.,GÓRA?D?E CEMENT SPÓ?KA AKCYJNA,490,PL-0674-05,29,,,,,,1836866,2077329,0,0,,OPEN
CZ,ENERGETIKA T?INEC,ENERGETIKA T?INEC - Teplárny a Tepelná za?ízení,252,CZ-0101-05,20,,,,,,1819211,79264,0,292966,,OPEN
DE,49 - Anlagenkonto,Raffinerie Wesseling,31,14210-0032,21,,,,,,1818632,1683490,0,0,,OPEN
RO,Operator Account,SC Azomurs SA,50,RO-164-2013,20,,,,,,1807951,1146547,0,0,,OPEN
CZ,?EZ - Elektrárna M?lník 3,?EZ a. s. - Elektrárna M?lník 3,123,CZ-0203-05,1,,,,,,1807893,1314,0,691514,,OPEN
CY,Operator Account:CY8,EAC Vasilikos Power Station,2.1E+14,1,1,,,,,,1807252,0,0,657885,,OPEN
GB,Damhead Creek Power Station,Damhead Creek Power Station,73,UK-E-IN-11384,1,,,,,,1805610,-1,-1,-1,,OPEN
GR,ELPETRELEF,???????? ????????? ?.?. ??????????? ?????????,89,04-mar,21,,,,,,1794882,175538,1460892,0,,OPEN
ES,Gas Natural Fenosa Generación S.L.U. - Narcea 12 y 3,Central Térmica Narcea,208,ES033301000222,20,,,,,,1786748,-1,-1,-1,,OPEN
PL,EDF Polska Spó?ka Akcyjna Oddzia? nr 1 w Krakowie,EDF Polska Spó?ka Akcyjna Oddzia? nr 1 w Krakowie,38,PL-0038-05,20,,,,,,1782340,408193,0,0,,OPEN
ES,Iberdrola Generación S.A.U. - Grupo1 - Central térmica Velilla del Río Carrión,C.T. Velilla del Río Carrión Grupo 1,271,ES063401000348,20,,,,,,1781042,-1,-1,-1,,OPEN
DK,AalborgPortland,Aalborg Portland A/S,342,TCO2-7,29,,,,,,1780564,2008872,0,0,,OPEN
ES,Unión Eléctr. de Canarias Generación-CT Granadilla,Unión Eléctr. de Canarias Generación-CT Granadilla,222,ES043801000236,20,,,,,,1765415,-1,-1,-1,,OPEN
SE,Slitefabriken,Slitefabriken,406,09-563-5614-04,29,,,,,,1763629,1280179,0,0,,OPEN
